It takes a PhD to develop that
BepiColombo’s First Views of Mercury
E-Ink Magic Calendar that runs off a battery powered Raspberry Pi
FoundationDB: A Distributed Unbundled Transactional Key Value Store
Watering and draining planets – math and data
Hiawatha Webserver
Raycast (YC W20) Is Hiring Product Designers
Unified Shader Programming in C++
New study reveals iPhones aren't as private as you think
Classic on NextGen: AmigaOS 3.2 on AmigaOS 4.1 [video]
A Macintosh History 85.10
A Computer in the Game of Life (2020)
Characterization of bacteria and fungi associated with the ISS' surfaces
The Act of Smelling
I Was a Facebook Fact-Checker (2019)
Faster Maven Builds
Riesz Proves the Riesz Representation Theorem
Word-Aligned Bloom Filters
Robotic Process Automation and Artificial Intelligence in Industry 4.0
Pandora papers: biggest leak of offshore data exposes financial secrets of rich
The FB Whistleblower, Frances Haugen, Says She Wants to Fix Company, Not Harm It
BANCStar: Financial Programming Language
How does the economy work? A new Fed paper suggests nobody really knows
Whistleblower says Facebook is misleading the public
Removing my site from Google search
An Honest Look at Urbit
Python 3.11
The Nernst Lamp
Show HN: Smallest and fastest command-line coloring library on the internet
Show HN: SpotML – Managed ML Training on Cheap AWS/GCP Spot Instances
